time,Disk Bytes/sec,Disk Read Bytes/sec,Disk Write Bytes/sec,Bytes Received/sec,Bytes Sent/sec,Packets Received/sec,Packets Sent/sec,Process V2(_Total)\% Processor Time,Process V2(_Total)\IO Data Bytes/sec,Process V2(_Total)\IO Data Operations/sec,Process V2(_Total)\Page Faults/sec,Process V2(_Total)\Pool Nonpaged Bytes,Process V2(_Total)\Pool Paged Bytes,Processor Information(_Total)\% Processor Time,Sessions Timed Out,Context Switches/sec,Exception Dispatches/sec,File Control Bytes/sec,File Control Operations/sec,File Data Operations/sec,File Read Bytes/sec,File Read Operations/sec,File Write Bytes/sec,File Write Operations/sec
54:00.2,166756.2839,0,166756.2839,1393.367631,0,13.2313946,0,800.986775,446822.5831,78.33905734,1092.677241,7620488,95355760,2.657862288,0,5544.972136,0,31198.61066,706.3529116,77.35276842,101090.9081,58.01457631,212506.3752,19.3381921
54:01.2,4104.299304,0,4104.299304,2158.364429,0,11.02228817,0,801.9828223,177044.7046,43.10413096,1029.487035,7621704,95362104,0.926921721,0,6832.816639,0,33987.72658,611.2359803,43.08712648,99240.67457,26.05268113,77734.1863,17.03444535
54:02.2,460981.4446,49390.86906,411590.5755,1592.702788,0,14.06803725,0,803.2806786,501597.1891,43.17405621,206.8338507,7621024,95363688,1.943276536,0,4446.50463,0,21298.00353,271.3121469,43.20897155,98750.58747,22.10691568,403252.2489,21.10205587
54:03.2,270688.4064,0,270688.4064,1142.203441,0,10.84994633,0,790.9928849,2361660.197,1160.82223,485.4886839,7621296,95363688,0.739667334,0,1581.133088,0,20333.78578,362.9800226,1157.985181,1971185.699,1085.980991,384702.6015,72.00418926
54:04.2,583107.5078,0,583107.5078,2013.045284,0,16.79183996,0,804.0869986,654552.4716,43.54183108,346.3554745,7621160,95363688,1.808606908,0,4142.645693,0,22907.03297,341.7633309,43.46123283,97069.67576,21.73061641,556271.1843,21.73061641
54:05.2,33500.43285,0,33500.43285,1786.75686,55.36429707,11.07285941,1.006623583,803.694907,176830.2295,39.18330341,145.6815127,7620480,95363688,1.30406531,0,1213.988041,0,18532.94679,144.953796,39.25831974,98765.87949,20.13247166,78402.89102,19.12584808
54:06.2,464416.2289,20369.13285,444047.0961,1336.724343,139.2421191,8.951279083,1.98917313,801.8943953,14838599.08,1585.870475,33344.38029,7655296,96559528,4.461800558,0,7860.217622,51.71850137,110734.2844,3362.697176,1591.338504,14080045.72,753.8966161,644323.0143,837.4418876
54:07.2,285580.7674,41539.02072,244041.7467,12293.3596,5013.88961,36.50890493,19.26858871,792.5774094,424297.2028,555.4695182,8464.87244,7665352,96653720,2.893546638,0,6785.585635,31.43822369,37574.76212,543.5770289,541.5487564,205229.7384,233.251337,220219.6863,308.2974194
54:08.2,390151.5324,0,390151.5324,2053.096632,284.2749183,18.75424808,3.948262755,802.2647069,565404.7857,70.1145583,402.911828,7653656,96640872,1.645427634,0,4939.276706,0,20776.74568,241.8310937,70.08166389,98649.31905,36.52143048,466490.2056,33.56023341
54:09.2,703574.8068,99621.21158,603953.5952,2527.418027,287.8054208,14.18759117,4.053597477,795.3231966,179678.2789,112.0824588,145.4042708,7653928,96641352,1.37361153,0,2739.218495,0,16555.90549,145.9295092,112.48733,101710.8411,95.2595407,78616.48286,17.22778928
